Tm,W,L,W-L%,GB,Div,GP
New York Yankees,7,2,0.778,--,AL East,9
Tampa Bay Rays,4,5,0.444,3.0,AL East,9
Toronto Blue Jays,4,5,0.444,3.0,AL East,9
Baltimore Orioles,3,6,0.333,4.0,AL East,9
Boston Red Sox,2,7,0.222,5.0,AL East,9
Cleveland Guardians,6,4,0.6,--,AL Cent,10
Chicago White Sox,4,5,0.444,1.5,AL Cent,9
Detroit Tigers,4,5,0.444,1.5,AL Cent,9
Kansas City Royals,4,5,0.444,1.5,AL Cent,9
Minnesota Twins,3,6,0.333,2.5,AL Cent,9
Houston Astros,6,4,0.6,--,AL West,10
Los Angeles Angels,5,5,0.5,1.0,AL West,10
Texas Rangers,4,5,0.444,1.5,AL West,9
Seattle Mariners,4,6,0.4,2.0,AL West,10
Athletics,3,6,0.333,2.5,AL West,9
Miami Marlins,6,3,0.667,--,NL East,9
Atlanta Braves,6,4,0.6,0.5,NL East,10
New York Mets,6,4,0.6,0.5,NL East,10
Philadelphia Phillies,5,4,0.556,1.0,NL East,9
Washington Nationals,3,6,0.333,3.0,NL East,9
Milwaukee Brewers,7,2,0.778,--,NL Cent,9
Cincinnati Reds,6,3,0.667,1.0,NL Cent,9
Pittsburgh Pirates,6,3,0.667,1.0,NL Cent,9
St. Louis Cardinals,5,4,0.556,2.0,NL Cent,9
Chicago Cubs,4,5,0.444,3.0,NL Cent,9
Los Angeles Dodgers,7,2,0.778,--,NL West,9
Arizona Diamondbacks,5,5,0.5,2.5,NL West,10
San Diego Padres,4,5,0.444,3.0,NL West,9
Colorado Rockies,3,6,0.333,4.0,NL West,9
San Francisco Giants,3,7,0.3,4.5,NL West,10
